"title","object","action","food","allplay"
"bavaria","egg beater","ask","oven","sydney opera house"
"blue domed church","jar of pickles","enjoy","light bulb","acropolis of athens"
"saint petersburg","empty tin can","move","cilantro","crab"
"medina","map","step","mandarin","beijing"
"gull","street lights","sip","tomato","deer"
"chichen itza","pair of rubber gloves","cross","laundry basket","temple of besakih"
"egypt","shampoo","sound","cooker","fly"
"clams","wishbone","scorch","colander","istanbul"
"the palace of parliament","pair of dice","moan","salad spinner","lobster"
"dom","screw","discover","mint leaves","twyfelfontein"
"butterfly","ladle","trace","watermelon","chimpanzee"
"cn tower","handbasket","shop","refrigerator","the statue of liberty"
"bald eagle","thermometer","name","bachelor griller","otter"
"jackdaw","outlet","overflow","mesh skimmer","owl"
"worm","acorn","kneel","hot dog","centipede"
"blackbird","craft book","post","range hood","sloth"
"dachshund","plush dinosaur","introduce","microwave","denmark"
"greece","bread","wipe","potato","india"
"pakistan","banana","challenge","spice container","anteater"
"lizard","spool of ribbon","spray","bean","starfish"
"the blue mosque","jigsaw puzzle","sail","electric guitar","crow"
"the pyramids of giza","roll of gauze","expect","bread basket","koala"
"pig","plastic fork","fancy","sewing machine","washington dc"
"puma","jar of peanut butter","raise","dustpan","american cemetery"
"rome","bouquet of flowers","release","fish","kremlin"
"holland","apple","blind","lime","grizzly bear"
"black bird","chair","prefer","napkin","golden temple of amritsar"
"south dakota","toothpick","hook","cheese","the grand canyon"
"cormorant","lotion","grip","white wine glass","forbidden city"
"uluru","pocketwatch","fold","hot dog bun","scotland"
"tanzania","dagger","trot","toaster","pacific ocean"
"mexico","knife","sack","wall lantern","mount fuji"
"kookaburra","shopping bag","lie","breakfast burrito","platypus"
"barcelona","game cartridge","whip","jelly roll","sacrã© coeur"
"coyote","pillow","sneeze","hamburger","paris"
"dolphin","ball of yarn","colour","mushroom","mecca"
"the little mermaid","plush octopus","tickle","oven glove","stonehenge"
"cat","handful of change","visit","liquid soap","shells"
"parrot","chicken","launch","french bread","mallard"
"millau bridge","quartz crystal","bruise","french beans","japan"
"seagull","bag of rubber bands","drown","tea spoon","ephesus"
"monkey","beaded bracelet","plug","soup","tower bridge"
"canary","button","decay","broccoli","shanghai"
"ostrich","pepper shaker","hunt","green tea","potala palace"
"the prophet's mosque","ring","disarm","measuring spoon","konark sun temple"
"antarctic","sharpie","end","butter","germany"
"jordan","bottle of syrup","guess","mustard","the colosseum"
"norway","wristwatch","grate","baking tray","scorpion"
"puppy","purse","bow","air conditioner","cow"
"golden gate bridge","plush pony","nest","rice cooker","the polynesian triangle"
"bear","keyboard","ruin","bleach","toad"
"arctic wolf","lamp shade","practise","hose","beetle"
"the taj mahal","flashlight","amuse","bread","canada"
"kestrel","tissue box","hammer","cherry","alligator"
"swallow","toilet paper tube","trust","clothes dryer","waterloo"
"hyena","drawer","back","chives","goose"
"mongoose","canteen","boil","grater","brandenburg gate"
"jerusalem","ipod","terrify","apron","turtle"
